a,b,c,d,e,f,g,h,i,j,k,l,m
0,48.5397260273973,2,2,2,11,99,26.3342465753425,961,0,0,2,0
0,26.2465753424658,1,2,8,2,99,4.32054794520548,958,1403,2100,2,0
0,41.958904109589,2,2,81,2,99,0,773,1790,1200,1,0
0,51.8301369863014,1,2,81,2,99,0,890,1809,1250,2,0
0,23.7369863013699,1,2,8,2,99,3.31780821917808,617,1454,0,1,0
0,30.2301369863014,2,2,8,1,99,0,988,1413,5702,1,0
0,65.6465753424658,2,1,8,9,99,0,931,1624,0,2,0
0,35.6438356164384,1,2,0,99,99,2.23287671232877,743,0,1500,1,1
0,52.9698630136986,1,2,2,9,4,0,838,0,1656,1,1
0,23.2465753424658,1,1,81,2,99,5.15890410958904,505,1348,2000,2,0
0,25.8438356164384,1,2,8,2,99,0,752,1403,2000,3,0
0,21.1041095890411,2,1,0,2,99,2.31780821917808,535,1316,1400,3,0
0,47.3095890410959,2,2,0,2,99,0,841,1581,950,2,0
0,21.9671232876712,1,1,8,2,99,6.32054794520548,599,0,980,2,1
0,43.641095890411,1,2,8,1,99,0,937,1259,2275,2,1
0,45.1479452054795,1,2,8,1,99,26.172602739726,853,0,2290,2,1
0,26.8958904109589,1,1,8,2,99,0,746,1706,1395,2,1
0,28.9178082191781,1,2,9,2,12,0,900,1809,4982,2,1
0,50.2849315068493,2,1,8,1,21,27.0876712328767,1076,0,0,1,0
0,38.5698630136986,1,2,8,1,21,0,1017,1302,0,2,0
0,51.1369863013699,2,2,0,2,99,0,779,0,940,1,0
0,42.2849315068493,1,2,8,2,99,0,786,1054,2500,1,0
0,67.8657534246575,1,2,8,9,99,0.989041095890411,952,565,1000,1,0
0,70.2109589041096,1,2,6,2,20,0,976,1519,20000,2,1
0,24.0684931506849,2,1,8,2,99,0,767,1423,1627,2,0
0,43.6109589041096,1,2,8,2,99,6.32054794520548,890,0,0,2,0
0,62.358904109589,1,2,0,9,99,0,792,0,6075,1,0
0,21.6493150684932,1,1,0,99,99,0,443,0,1000,3,0
0,21.5315068493151,2,1,8,8,0,0,1,1566,500,1,0
0,43.9835616438356,1,1,0,99,99,11.3232876712329,768,0,2000,1,0
0,20.4821917808219,2,1,0,8,0,0,1,1312,500,1,0
0,41.5232876712329,2,2,0,2,99,0,779,1257,950,2,1
0,37.6767123287671,1,2,0,1,99,0,903,0,2000,2,0
0,29.0301369863014,1,2,81,2,99,1.07123287671233,769,0,950,2,1
0,35.9698630136986,1,2,0,99,99,0,814,1163,1000,3,1
0,19.4575342465753,1,1,0,2,99,0,541,0,1500,2,0
0,19.827397260274,1,1,8,8,0,0,1,0,500,3,0
0,27.241095890411,1,1,0,99,99,0,820,1139,1243,2,1
0,51.3506849315068,1,2,8,11,27,0,890,1640,0,2,1
0,35.4082191780822,1,2,81,2,99,0,820,0,950,2,1
0,42.1452054794521,2,1,8,2,99,4.15616438356164,943,1460,5000,2,0
0,31.4684931506849,1,2,0,2,3,0,832,1809,3000,3,0
0,38.1041095890411,1,2,8,1,20,0,1023,1262,0,2,0
0,27.4712328767123,1,1,0,8,99,0,1,1626,500,2,0
0,37.5698630136986,2,1,8,1,99,0,958,1372,2363,2,1
0,22.8739726027397,1,1,8,2,99,2.31780821917808,532,1565,1300,2,0
0,54.1808219178082,1,2,0,9,99,0,792,1656,800,1,0
0,68.0219178082192,2,2,8,9,21,0,983,0,3941,2,1
0,30.4931506849315,1,2,8,2,99,3.31780821917808,922,1438,1843,2,1
0,53.1890410958904,1,2,8,1,99,0,983,1809,0,2,0
0,44.9150684931507,1,1,8,2,99,4.82465753424658,808,1399,1500,3,0
0,36.3424657534247,1,2,0,2,12,9.32328767123288,896,0,4500,2,1
0,25.9917808219178,1,1,8,2,99,0,734,0,475,2,1
0,22.3315068493151,1,1,0,8,99,0,1,0,500,2,0
0,67.0876712328767,1,2,8,9,99,3.31780821917808,856,1399,1500,2,0
0,19.5561643835616,1,1,8,2,99,0,479,0,1587,1,1
0,56.2958904109589,2,1,8,6,0,0,857,1900,500,2,0
0,40.9315068493151,1,2,8,2,99,0,846,1423,2174,2,1
0,33.5068493150685,1,2,0,2,99,14.3260273972603,820,0,2400,2,0
0,38.4383561643836,2,2,8,2,99,4.23561643835616,853,0,949,2,1
0,29.027397260274,1,1,8,2,99,0,872,1139,0,3,0
0,62.0219178082192,1,2,8,9,99,46.3479452054795,912,0,0,1,0
0,35.7260273972603,2,2,0,2,99,10.3232876712329,893,0,1010,2,0
0,37.1616438356164,2,1,81,2,99,1.56986301369863,866,1809,1000,2,0
0,45.9917808219178,1,2,81,11,27,4.32054794520548,828,1454,0,2,0
0,54.3534246575342,1,2,0,2,99,10.0767123287671,776,0,967,1,0
0,31.0547945205479,1,1,8,2,99,0,858,1163,1360,3,1
0,27.172602739726,1,2,81,2,99,4.32054794520548,878,1118,1335,2,1
0,49.9095890410959,1,2,0,2,99,25.3342465753425,844,0,1650,2,0
0,23.5917808219178,1,1,81,2,99,0,485,1900,1000,2,1
0,41.5643835616438,2,2,8,2,99,0,911,1809,6000,2,1
0,57.8164383561644,1,2,8,9,99,0,992,1672,2000,2,0
0,51.2849315068493,1,2,8,1,99,18.2438356164384,1023,0,2675,1,1
0,32.7534246575342,1,1,81,2,99,9.32328767123288,814,0,2000,1,0
0,68.345205479452,1,2,8,9,99,0,912,0,1245,1,1
0,20.2958904109589,1,1,8,8,0,0,1,0,500,1,0
0,46.4328767123288,2,1,0,2,99,4.99178082191781,761,1865,950,3,0
0,28.7205479452055,1,1,8,2,99,12.3260273972603,876,0,2740,3,1
0,25.6547945205479,2,1,8,8,0,0,1,0,500,1,0
0,40.2575342465753,1,2,81,2,99,4.07123287671233,822,1790,957,2,0
0,70.3643835616438,2,2,8,9,99,0,1007,1900,1578,2,1
0,51.4191780821918,2,1,8,9,99,0,959,1355,321,2,1
0,37.4575342465753,1,2,2,11,99,15.3260273972603,876,0,500,1,0
0,35.6849315068493,2,2,8,2,99,16.8328767123288,893,0,2000,2,0
0,33.0383561643836,2,2,8,2,99,7.23561643835616,743,0,1030,2,1
0,34.6520547945205,1,1,8,2,99,0,922,0,2570,2,0
0,56.3561643835616,1,2,0,2,99,13.6602739726027,796,0,2000,1,0
0,38.3315068493151,2,2,8,6,0,5.32054794520548,837,1596,3856,2,0
0,41.558904109589,1,2,81,2,99,0,816,1632,1400,1,1
0,26.3945205479452,1,2,0,99,99,3.23287671232877,758,1900,1500,1,1
0,46.5315068493151,1,2,8,2,27,25.7534246575342,984,1640,2283,1,1
0,22.3561643835616,1,1,8,2,99,0,603,0,1000,2,0
0,51.1342465753425,2,2,9,9,99,0,937,1900,1800,2,1
0,67.3616438356164,2,1,8,9,99,0,847,1313,1500,1,0
0,28.6630136986301,1,2,0,2,99,0,764,1163,0,2,0
0,25.0438356164384,1,1,0,2,99,0,672,0,1500,1,1
0,53.3424657534247,1,2,8,9,99,0,876,1494,1581,3,1
0,22.2986301369863,1,1,8,2,99,3.15616438356164,479,0,1600,3,1
0,38.986301369863,1,2,0,2,99,0,728,1789,2100,2,1
0,31.758904109589,1,1,0,99,28,1.15616438356164,731,1820,1000,2,1
0,27.2876712328767,2,1,8,2,99,0,869,1715,1500,1,0
0,55.4383561643836,1,2,8,9,99,0,860,1900,1093,2,1
0,45.3369863013699,1,2,2,11,27,23.3315068493151,946,0,10000,2,0
0,27.213698630137,1,2,8,2,99,6.32054794520548,876,0,1500,3,0
0,41.8219178082192,1,2,3,11,27,11.3232876712329,872,0,6326,1,0
0,21.5315068493151,1,1,8,2,99,0,541,0,1500,3,0
0,63.3780821917808,1,2,8,9,27,0,960,1331,7682,2,0
0,33.5397260273973,1,2,8,2,99,14.4109589041096,882,0,5000,2,0
0,31.3342465753425,1,2,8,2,99,8.07397260273973,820,0,1100,3,0
0,22.1397260273973,2,1,8,8,0,0,1,0,500,2,0
0,59.1890410958904,1,2,0,9,99,0,792,1283,1100,3,0
0,68.3397260273973,2,2,8,9,99,0,983,1900,800,1,0
0,32.5671232876712,1,2,2,11,99,0,940,1656,0,2,0
0,34.5917808219178,2,2,0,2,99,0,835,1324,1218,2,1
0,34.5561643835616,1,1,8,2,99,19.413698630137,766,0,1184,1,0
0,37.7178082191781,1,1,8,11,27,0,804,1277,6000,2,0
0,62.2054794520548,1,2,8,9,99,0,910,1513,1444,3,0
0,62.2739726027397,1,2,8,9,99,0,792,1700,956,3,0
0,58.0849315068493,1,2,8,9,21,0,1030,1900,1891,2,1
0,24.813698630137,1,1,8,2,99,0,672,0,4500,1,0
0,24.6438356164384,1,1,0,8,0,0,1,1730,500,3,0
0,35.6630136986301,1,2,0,2,99,0,820,1745,1500,2,0
0,30.5232876712329,1,2,81,2,3,14.1643835616438,832,0,3300,1,0
0,35.4438356164384,1,2,8,1,99,11.3232876712329,1041,0,5000,2,0
0,65.8082191780822,2,1,8,9,99,0,795,593,2400,2,0
0,55.9753424657534,1,2,8,9,99,0,854,1545,2984,2,1
0,21.2054794520548,2,1,8,8,0,0,1,1656,500,1,0
0,31.4383561643836,1,2,8,99,0,3.31780821917808,722,0,3000,2,0
0,38.9643835616438,1,2,81,2,99,20.8356164383562,878,0,1500,2,0
0,26.0082191780822,1,2,0,11,27,0,838,1265,5000,2,0
0,42.2630136986301,1,2,0,2,99,0,764,1316,1500,1,0
0,29.9561643835616,1,1,0,2,28,1.07123287671233,787,1715,1000,2,1
0,43.558904109589,2,1,9,6,0,0,901,1733,5000,2,0
0,35.4,1,2,0,2,99,0,878,1900,2000,2,0
0,26.0575342465753,1,1,8,1,99,9.32328767123288,1023,0,2000,2,1
0,73.841095890411,2,1,8,9,99,0,971,1697,3000,2,0
0,29.5205479452055,1,1,9,1,99,1.98904109589041,888,1218,4199,2,1
0,64.3095890410959,1,2,0,9,99,0,848,1135,1350,3,0
0,28.5068493150685,1,1,8,2,99,0,876,1167,1421,3,1
0,23.4657534246575,1,1,8,2,99,0,547,1488,912,2,1
0,38.4767123287671,1,2,9,2,99,12.1616438356164,820,0,5269,2,1
0,45.7698630136986,1,1,0,2,99,0,808,1359,2250,2,0
0,19.6684931506849,2,1,0,8,99,0,1,1036,500,1,0
0,35.4082191780822,2,2,8,1,21,0,1026,1351,2463,3,1
0,50.8547945205479,1,1,8,9,7,0,1000,1394,1980,2,0
0,31.7342465753425,1,2,0,2,99,0.989041095890411,764,1449,2000,2,0
0,39.4438356164384,1,2,8,2,99,0,814,1233,1400,3,0
0,38.9616438356164,2,2,0,2,99,0.989041095890411,779,0,1000,2,0
0,61.2109589041096,1,2,0,9,99,0,872,1900,1150,2,1
0,27.7150684931507,1,2,0,99,99,0,758,1076,1400,1,1
0,23.1643835616438,1,1,8,2,99,0,547,665,0,2,1
0,19.7643835616438,1,1,8,8,0,0,1,0,500,2,0
0,29.613698630137,2,2,9,5,99,0,875,1680,4610,2,1
0,53.8246575342466,2,1,8,6,0,0,851,1850,500,3,0
0,53.158904109589,1,2,8,9,99,0,918,1809,1350,2,0
0,42.0027397260274,1,2,81,2,99,0,764,1380,2000,2,0
0,65.2958904109589,1,2,8,9,99,0,896,280,1500,1,0
0,34.1369863013699,1,2,81,2,99,0,814,1072,3000,3,0
0,38.2328767123288,1,2,81,2,99,18.3287671232877,764,0,2000,2,0
0,35.441095890411,2,1,8,11,27,1.07123287671233,822,1003,0,1,0
0,28.3369863013699,1,2,81,2,99,6.32054794520548,822,0,1000,2,0
0,25.0958904109589,2,1,8,8,0,0,1,0,500,2,0
0,28.0739726027397,1,2,8,2,99,0,952,1900,1208,3,0
0,40.2438356164384,2,1,8,6,0,0,777,1265,0,2,0
0,41.1890410958904,2,2,8,1,99,0,980,1359,3288,2,0
0,41.4219178082192,1,2,8,1,99,0,987,1730,2000,2,0
0,64.9369863013699,2,1,81,9,99,0,795,1616,1174,2,0
0,31.2712328767123,1,2,8,2,99,16.3287671232877,822,0,3045,2,1
0,29.2328767123288,1,1,8,1,21,2.31780821917808,1046,1363,4000,2,0
0,37.4356164383562,1,1,0,2,99,0,796,1394,3776,3,1
0,23.1671232876712,1,1,0,2,99,0,485,1300,1500,2,0
0,61.7780821917808,1,2,0,9,99,0,798,1809,0,2,0
0,27.7917808219178,1,1,8,2,99,9.16164383561644,772,0,923,2,1
0,53.1150684931507,2,1,0,99,99,11.3232876712329,737,0,3000,1,0
0,28.2712328767123,1,2,0,11,27,6.32054794520548,820,0,1500,2,0
0,38.986301369863,1,2,8,2,99,18.3287671232877,872,0,1706,1,1
0,31.3808219178082,1,2,0,2,99,0,722,1449,2045,3,0
0,23.758904109589,1,1,8,2,99,0,485,1399,1515,2,0
0,57.0219178082192,1,2,0,2,99,5.32054794520548,776,0,3000,1,0
0,42.7232876712329,1,2,81,2,99,0,906,1433,3300,2,0
0,21.9452054794521,1,1,0,99,99,0,479,1297,1400,1,1
0,39.5945205479452,1,2,2,11,4,0,820,1491,0,1,0
0,22.0054794520548,1,1,8,2,99,0,485,1438,949,2,0
0,21.3013698630137,1,1,8,8,0,0,1,1352,500,2,0
0,30.5150684931507,2,2,0,2,99,1.07123287671233,764,1835,850,2,0
0,62.5452054794521,1,2,8,9,99,0,854,1672,1100,1,1
0,29.2383561643836,1,1,8,2,99,0,760,1413,849,3,1
0,21.9178082191781,1,1,0,8,0,0,1,1626,500,3,0
0,20.3287671232877,1,1,8,8,0,0,1,0,500,2,0
0,41.3890410958904,2,2,9,1,99,0,856,1545,1000,1,0
0,34.3150684931507,2,1,8,1,99,0,1038,1423,0,2,0
0,61.1945205479452,1,1,8,2,99,0,764,1566,2400,2,1
0,42.1178082191781,1,2,8,2,99,0,882,1835,1000,3,0
0,19.4301369863014,1,1,0,2,99,0,535,0,950,1,0
0,24.3178082191781,1,1,0,2,28,1.07123287671233,657,1835,1000,3,1
0,40.8191780821918,2,1,0,2,99,0.989041095890411,819,0,950,2,1
0,24.8767123287671,1,2,8,2,99,1.56986301369863,701,0,1100,2,1
0,27.3315068493151,1,2,8,2,99,0,958,1225,1621,2,1
0,20.6383561643836,1,1,0,8,0,0,1,0,500,3,0
0,33.9753424657534,1,2,81,2,99,0,878,1394,1207,2,0
0,36.3424657534247,1,2,2,11,27,3.31780821917808,878,1268,0,1,0
0,65.013698630137,1,2,8,9,99,0,954,1751,1210,1,1
0,28.0657534246575,1,1,81,2,99,0,798,1648,900,3,1
0,42.1835616438356,1,2,8,2,99,26.3342465753425,904,0,1200,1,0
0,66.3616438356164,1,2,8,2,99,42.3452054794521,900,0,0,2,0
0,23.0493150684932,1,1,0,2,99,0,541,1745,1000,2,0
0,24.8191780821918,1,1,0,1,17,2.31780821917808,784,1760,2750,2,0
0,23.7753424657534,1,1,0,8,0,0,1,0,500,3,0
0,34.7753424657534,1,1,8,99,9,8.32328767123288,940,0,2000,2,0
0,27.627397260274,1,1,0,8,0,0,1,0,500,2,0
0,28.3369863013699,1,2,2,11,27,3.48493150684931,958,1488,0,2,0
0,30.6493150684932,2,2,8,2,99,0,835,0,900,3,1
0,31.9506849315068,1,1,81,2,99,6.07397260273973,854,0,1650,3,0
0,28.0027397260274,1,2,81,2,99,0,802,1488,1759,2,0
0,27.1123287671233,1,1,8,11,9,0,876,1656,0,3,0
0,47.9095890410959,2,2,0,6,0,0,811,0,500,1,0
0,29.1780821917808,1,2,8,2,0,0,882,1399,1500,2,0
0,33.2438356164384,1,2,8,2,99,0,820,1367,980,3,0
0,26.8383561643836,1,2,8,2,99,0,816,0,1000,1,0
0,42.813698630137,1,2,8,2,99,0,890,1632,0,2,1
0,49.7095890410959,2,2,8,9,99,0,915,1900,1100,2,0
0,19.4246575342466,2,1,0,8,0,0,1,0,500,2,0
0,20.8219178082192,1,1,8,99,28,1.07123287671233,470,1004,1000,2,1
0,20.6904109589041,2,1,8,8,0,0,1,0,500,3,1
0,19.9342465753425,1,1,8,2,99,0,479,0,902,1,1
0,78.1479452054794,2,2,6,9,99,0,1007,1724,1700,2,0
0,35.9123287671233,2,2,8,2,21,0,885,0,2420,3,1
0,35.0712328767123,2,2,0,2,99,0,779,0,506,2,0
0,24.6712328767123,1,2,8,2,99,0,752,0,2000,2,0
0,43.3780821917808,1,2,0,2,99,0.989041095890411,820,1454,1000,3,1
0,48.4904109589041,1,2,8,1,99,0,1029,1900,2349,2,1
0,27.6657534246575,2,2,0,2,99,5.32054794520548,835,1043,1500,2,0
0,24.1369863013699,1,2,8,2,99,4.40547945205479,696,1345,2800,2,0
0,23.5232876712329,1,1,0,2,99,3.31780821917808,535,1715,950,3,0
0,31.0904109589041,1,2,8,2,21,10.3232876712329,876,0,2100,2,0
0,22.4986301369863,1,1,81,8,0,0,1,1399,500,3,0
0,33.4383561643836,1,2,81,2,99,0,764,1071,949,2,0
0,65.6712328767123,1,2,0,9,99,0,856,1700,1300,2,0
0,22.9068493150685,1,1,0,2,99,3.15616438356164,541,0,2000,2,1
0,36.4657534246575,2,1,8,2,99,0,875,1715,1000,2,0
0,35.6493150684932,1,1,8,4,3,0,2,1900,1674,3,1
0,37.6191780821918,2,2,0,2,99,18.7479452054795,851,0,1900,1,1
0,40.2849315068493,2,2,8,1,21,6.65479452054795,1032,0,2700,2,0
0,22.6657534246575,2,1,0,8,0,0,1,0,500,3,0
0,51.4739726027397,2,2,8,2,99,31.5890410958904,837,0,941,3,1
0,54.7616438356164,1,2,8,9,17,0,892,0,2750,2,1
0,36.3424657534247,1,2,81,2,99,13.3260273972603,764,0,1500,2,1
0,40.0164383561644,1,1,81,2,99,0,796,1147,5000,3,0
0,66.0438356164384,1,2,9,9,17,0,968,1587,3435,2,1
0,37.7534246575342,1,1,8,2,99,9.32328767123288,787,1656,1000,2,0
0,24.3342465753425,2,1,8,8,0,0,1,1641,500,2,1
0,35.5945205479452,1,2,8,2,99,0,940,1809,2196,2,1
0,21.6931506849315,2,1,8,8,0,0,1,1656,500,1,0
0,27.5616438356164,1,1,0,2,99,0,796,0,1100,1,1
0,24.4739726027397,2,1,0,2,99,0,825,0,1000,2,0
0,71.2794520547945,1,1,9,9,99,0,780,1418,15944,2,1
0,23.2575342465753,1,1,0,2,99,0,485,1596,1100,2,0
0,24.6547945205479,1,2,8,1,99,3.31780821917808,875,1680,1400,2,0
0,37.5560502283104,1,2,81,2,99,16.5808219178082,816,1249,1017,2,0
0,73.0191780821918,1,2,8,9,99,0,856,1730,1350,2,0
0,51.9698630136986,1,2,9,9,17,0,924,1809,4000,2,0
0,53.2328767123288,1,2,0,9,99,0,856,1245,2500,2,0
0,36.2191780821918,1,2,8,2,99,0,826,1601,923,2,1
0,36.0630136986301,1,2,8,2,99,0,764,1880,897,2,1
0,39.2109589041096,1,2,9,1,21,15.6602739726027,959,0,3200,2,0
0,41.3452054794521,1,1,8,2,99,7.48767123287671,808,0,893,2,1
0,27.3780821917808,1,2,0,11,27,0,820,1715,0,2,0
0,25.6904109589041,2,1,8,2,21,0,799,0,2420,3,1
0,46.9808219178082,2,2,0,9,99,0,801,1566,1977,2,0
0,25.2849315068493,1,1,81,2,99,8.32328767123288,734,0,3312,2,0
0,34.6547945205479,1,2,8,1,99,5.32054794520548,903,1596,2200,2,1
0,64.5808219178082,1,2,8,9,99,0,954,1443,818,2,0
0,26.8246575342466,1,2,8,2,99,4.32054794520548,764,1389,1400,2,0
0,36.1780821917808,1,2,81,2,99,0.989041095890411,872,1594,1000,3,1
0,45.5424657534247,1,2,3,11,27,0,946,1648,24753,2,0
0,28.3342465753425,1,2,8,2,99,11.3232876712329,878,0,1477,2,1
0,37.4575342465753,2,1,8,2,99,0,817,1799,2300,2,0
